"district","county","subcounty","parish","year","school_name","ownership","gender","grade","value","location_code","facility_id"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Male","Division U","0.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Female","Division U","0.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Male","Division X","","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Female","Division X","0.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Male","Division 1","1.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Female","Division 1","1.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Male","Division 2","3.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Female","Division 2","2.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Male","Division 3","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Female","Division 3","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Male","Division 4","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Female","Division 4","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Male","Division U","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Female","Division U","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Male","Division X","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Jowante Junior School","Private","Female","Division X","0.0","D02S13P04","jowante-junior-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Male","Division 1","2.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Female","Division 1","1.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Male","Division 2","4.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Female","Division 2","6.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Male","Division 3","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Female","Division 3","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Male","Division 4","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Female","Division 4","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Male","Division U","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Female","Division U","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Male","Division X","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2018","Ebenezer Christian School","Private","Female","Division X","0.0","D02S20P01","ebenezer-christian-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Male","Division 1","4.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Female","Division 1","7.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Male","Division 2","7.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Female","Division 2","7.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Male","Division 3","1.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Female","Division 3","0.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Male","Division 4","0.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Female","Division 4","2.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Male","Division U","0.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Female","Division U","0.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Male","Division X","0.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Buruli","Kimengo","","2018","Jerusalem Primary School","Private","Female","Division X","0.0","D02S10","jerusalem-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Male","Division 1","6.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Female","Division 1","1.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Male","Division 2","17.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Female","Division 2","14.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Male","Division 3","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Female","Division 3","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Male","Division 4","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Female","Division 4","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Male","Division U","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Female","Division U","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Male","Division X","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Valley Primary School","Private","Female","Division X","0.0","D02S13P02","bulima-valley-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Male","Division 1","1.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Female","Division 1","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Male","Division 2","10.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Female","Division 2","6.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Male","Division 3","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Female","Division 3","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Male","Division 4","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Female","Division 4","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Male","Division U","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Female","Division U","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Male","Division X","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2018","Ntooma Model Primary School","Private","Female","Division X","0.0","D02S13P04","ntooma-model-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Male","Division 1","1.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Female","Division 1","1.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Male","Division 2","9.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Female","Division 2","7.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Male","Division 3","1.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Female","Division 3","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Male","Division 4","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Female","Division 4","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Male","Division U","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Female","Division U","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Male","Division X","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","New Hope Primary School","Private","Female","Division X","0.0","D02S13P02","new-hope-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Male","Division 1","4.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Female","Division 1","2.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Male","Division 2","19.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Female","Division 2","21.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Male","Division 3","0.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Female","Division 3","2.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Male","Division 4","0.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Female","Division 4","1.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Male","Division U","0.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Female","Division U","0.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Male","Division X","0.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2018","Arise and Prosper Primary School","Private","Female","Division X","0.0","D02S23P01","arise-and-prosper-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Male","Division 1","2.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Female","Division 1","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Male","Division 2","12.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Female","Division 2","12.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Male","Division 3","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Female","Division 3","1.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Male","Division 4","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Female","Division 4","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Male","Division U","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Female","Division U","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Male","Division X","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2018","Kayera Parents Primary School","Private","Female","Division X","0.0","D02S10P02","kayera-parents-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Male","Division 1","1.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Female","Division 1","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Male","Division 2","14.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Female","Division 2","18.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Male","Division 3","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Female","Division 3","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Male","Division 4","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Female","Division 4","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Male","Division U","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Female","Division U","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Male","Division X","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2018","Isagara Primary School","Government","Female","Division X","0.0","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Male","Division 1","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Female","Division 1","1.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Male","Division 2","28.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Female","Division 2","32.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Male","Division 3","1.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Female","Division 3","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Male","Division 4","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Female","Division 4","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Male","Division U","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Female","Division U","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Male","Division X","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2018","Bulima Primary School","Government","Female","Division X","0.0","D02S13P02","bulima-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Male","Division 1","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Female","Division 1","1.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Male","Division 2","9.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Female","Division 2","19.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Male","Division 3","1.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Female","Division 3","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Male","Division 4","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Female","Division 4","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Male","Division U","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Female","Division U","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Male","Division X","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2018","Bokwe Primary School","Government","Female","Division X","0.0","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Male","Division 1","2.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Female","Division 1","1.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Male","Division 2","10.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Female","Division 2","28.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Male","Division 3","2.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Female","Division 3","1.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Male","Division 4","0.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Female","Division 4","0.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Male","Division U","0.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Female","Division U","0.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Male","Division X","0.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Bright Junior School","Private","Female","Division X","0.0","D02S13P03","kikingura-bright-junior-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Male","Division 1","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Female","Division 1","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Male","Division 2","4.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Female","Division 2","3.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Male","Division 3","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Female","Division 3","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Male","Division 4","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Female","Division 4","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2018","Kikingura Progressive Primary School","Private","Male","Division U","0.0","D02S13P03","kikingura-progressive-primary-school_masindi"
